trade_name,active_ingredient_name,active_ingredient_concentration_percent,registration_status,ready_to_use,registration_number,label_url,valid_until,approved_pests,approved_application_methods,source_name,source_url,verified_at
למבדה סטאר אולטרה קאפ - CS,lambda-cyhalothrin,9.70,unknown,false,,,,חרקים זוחלים אחרים;נמלים;פישפשי מיטה;פרעושים;קרציות קשות;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
באג,"bifenthrin, imidacloprid",4.00,unknown,false,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
זירו-פליי לתברואה,Dinotefuran,18.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;נמלים;פישפשי מיטה;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
שובל,White mineral oil (petroleum),97.00,unknown,false,,,,זחלי יתושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
וולקנו,fipronil,0.05,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רייד מקס דלתא - גוקים,"deltamethrin, imiprothrin",0.05,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ברודיטופ וקס בלוק,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ברודיטופ ג'ל,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K 4000,"1R-TRANS-Phenothrin, Piperonyl Butoxide, prallethrin",0.14,unknown,false,,,,זבובים בוגרים;חרקים מעופפים אחרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
בנגל החדש סלילים לבעירה איטית קוטל יתושים,prallethrin,0.10,unknown,true,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רעם,bifenthrin,10.00,unknown,false,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
כופתיון פלוס,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
בלוקיון פלוס,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פסטיון פלוס פסטה,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרו ג'ל נמלת האש הקטנה,fipronil,0.01,unknown,true,,,,נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
